EntryNumber,SequenceNumber,InUse,ParentEntryNumber,ParentSequenceNumber,ParentPath,FileName,Extension,FileSize,ReferenceCount,ReparseTarget,IsDirectory,HasAds,IsAds,SI<FN,uSecZeros,Copied,SiFlags,NameType,Created0x10,Created0x30,LastModified0x10,LastModified0x30,LastRecordChange0x10,LastRecordChange0x30,LastAccess0x10,LastAccess0x30,UpdateSequenceNumber,LogfileSequenceNumber,SecurityId,ObjectIdFileDroid,LoggedUtilStream,ZoneIdContents
295116,3,True,295079,3,.\Server data\New folder\Profil\AppData\Local\Script\Lenovo Vantage,Flag{MFT_Journal}.txt,.txt,5,1,,False,False,False,False,False,False,Archive,Windows,2023-12-03 16:53:44.3112895,,2023-12-03 16:55:41.7800963,2023-12-03 16:53:44.3112895,2023-12-03 16:55:41.7800963,2023-12-03 16:54:02.2863238,2023-12-03 16:55:41.7800963,2023-12-03 16:53:44.3112895,537548368,1143335999,2968,d6b3747c-91fa-11ee-bd2b-00155d055804,,
295388,3,True,106400,2,.\Users\UserCTF1\AppData\Roaming\Microsoft\Windows\Recent,Flag{MFT_Journal}.lnk,.lnk,1539,1,,False,False,False,False,False,False,Archive,Windows,2023-12-03 16:55:35.6078888,,2023-12-03 16:55:35.6078888,,2023-12-03 16:55:35.6078888,,2023-12-03 16:55:35.6078888,,537544928,1143336078,1873,,,
